"광역시도","시군구","선거인수","투표수","이재명","윤석열","심상정","투표율","electionSum","electionRatio"
"인천광역시","중구",121916,90125,43942,41805,2296,0.739238492076512,88043,97.69
"인천광역시","동구",53909,40918,19195,19661,1196,0.759019829713035,40052,97.88
"인천광역시","미추홀구",356862,253347,119287,121122,6951,0.709929888864603,247360,97.64
"인천광역시","연수구",317609,250104,111446,127768,6812,0.787458793673983,246026,98.37
"인천광역시","남동구",441525,329653,162476,150877,9232,0.74662363399581,322585,97.86
"인천광역시","부평구",424164,316024,159280,141072,8977,0.745051442366632,309329,97.88
"인천광역시","계양구",258741,193864,100532,83638,5502,0.749258911421074,189672,97.84
"인천광역시","서구",462821,346084,174908,154553,9594,0.747770736418615,339055,97.97
"인천광역시","강화군",63019,48473,17036,29267,988,0.769180723273933,47291,97.56
"인천광역시","옹진군",18659,14912,5218,8797,304,0.799185379709524,14319,96.02
"광주광역시","동구",90678,73877,60669,11036,1063,0.814718013189528,72768,98.5
"광주광역시","서구",248147,202633,170357,26262,2961,0.816584524495561,199580,98.49
"광주광역시","남구",180643,148854,124572,19927,2073,0.824023073133196,146572,98.47
"광주광역시","북구",363088,295658,249976,36421,4550,0.814287445467765,290947,98.41
"광주광역시","광산구",326650,264470,224484,30865,4218,0.809643349150467,259567,98.15
"대전광역시","동구",192350,142804,65555,70069,3603,0.742417468157005,139227,97.5
"대전광역시","중구",199637,151200,66698,77459,3782,0.757374634962457,147939,97.84
"대전광역시","서구",399599,304873,139877,150031,8427,0.76294735472311,298335,97.86
"대전광역시","유성구",288686,231027,108701,111342,6492,0.800270882550591,226535,98.06
"대전광역시","대덕구",152905,115404,54119,55159,3141,0.754743141166084,112419,97.41
"울산광역시","중구",182051,143171,54075,81399,3852,0.786433471939182,139326,97.31
"울산광역시","남구",268213,209589,77783,121304,5251,0.781427447588297,204338,97.49
"울산광역시","동구",127599,98491,44506,47065,3427,0.77187908996152,94998,96.45
"울산광역시","북구",175732,138319,64692,64597,5072,0.787101950697653,134361,97.14
"울산광역시","울주군",188615,145891,56078,81956,3690,0.773485671871272,141724,97.14
"세종특별자치시","세종특별자치시",288895,231832,119349,101491,6780,0.802478409110577,227620,98.18
"경기도","수원시장안구",234723,183882,91842,83470,4755,0.783400007668614,180067,97.93
"경기도","수원시권선구",311536,235055,121028,103154,5754,0.754503492373273,229936,97.82
"경기도","수원시팔달구",161747,119627,58024,56051,3003,0.739593315486531,117078,97.87
"경기도","수원시영통구",295828,239154,114418,114252,6385,0.808422461700718,235055,98.29
"경기도","성남시수정구",207998,161006,86224,68806,3128,0.774074750718757,158158,98.23
"경기도","성남시중원구",186278,142368,80857,56072,2799,0.764277048282674,139728,98.15
"경기도","성남시분당구",404493,335434,140966,183094,7005,0.829270222228815,331065,98.7
"경기도","의정부시",398960,295029,154851,127348,6788,0.739495187487467,288987,97.95
"경기도","안양시만안구",209083,162812,82650,73147,3901,0.778695541961805,159698,98.09
"경기도","안양시동안구",262895,216629,105221,102552,5574,0.824013389375987,213347,98.48
"경기도","부천시",699678,532995,285227,224331,13249,0.761771843619494,522807,98.09
"경기도","광명시",247357,198669,103470,87112,4746,0.803167082395081,195328,98.32
"경기도","평택시",472732,338768,166032,156630,7988,0.716617449210123,330650,97.6
"경기도","양주시",197345,145562,75236,63800,3162,0.737601662063898,142198,97.69
"경기도","동두천시",81075,57532,28495,26434,1125,0.709614554424915,56054,97.43
"경기도","안산시상록구",303413,222254,121488,90654,5103,0.732513109194398,217245,97.75
"경기도","안산시단원구",260659,192948,103595,80605,4563,0.740231490184494,188763,97.83
"경기도","고양시덕양구",414210,323033,167037,139914,10643,0.77987735689626,317594,98.32
"경기도","고양시일산동구",256654,197004,96990,91849,5032,0.767585932812269,193871,98.41
"경기도","고양시일산서구",251203,197311,99597,89677,4975,0.785464345569121,194249,98.45
"경기도","과천시",63841,54194,21072,30934,1314,0.848890211619492,53320,98.39
"경기도","의왕시",139712,113105,54997,53556,2717,0.809558234081539,111270,98.38
"경기도","구리시",164281,127688,63465,58865,3023,0.777253608147016,125353,98.17
"경기도","남양주시",608146,460518,239179,203075,10089,0.757249081635002,452343,98.22
"경기도","오산시",188297,135108,72877,55793,3352,0.717526035996325,132022,97.72
"경기도","화성시",703896,542027,283324,236055,12955,0.770038471592394,532334,98.21
"경기도","시흥시",424723,317197,178462,125544,7082,0.746832641509878,311088,98.07
"경기도","군포시",229884,183089,94891,80277,4593,0.796440813627743,179761,98.18
"경기도","하남시",265087,208858,101106,100088,4624,0.787884732182265,205818,98.54
"경기도","파주시",401260,297278,157155,126763,7176,0.74086128694612,291094,97.92
"경기도","여주시",98077,72566,30695,38731,1458,0.73988804714663,70884,97.68
