"기간","자치구","발생합계","검거합계","살인발생","살인검거","강도발생","강도검거","강간추행발생","강간추행검거","절도발생","절도검거","폭력발생","폭력검거"
"2019","광진구","4,011","2,816","4","5","6","5","273","213","1,875","1,008","1,853","1,585"
"2019","동대문구","3,692","2,818","6","6","10","9","168","143","1,531","827","1,977","1,833"
"2019","중랑구","4,268","3,138","10","10","4","5","138","108","1,666","908","2,450","2,107"
"2019","성북구","2,877","2,323","3","3","3","3","176","130","1,082","731","1,613","1,456"
"2019","강북구","3,838","3,023","6","6","3","2","176","145","1,229","664","2,424","2,206"
"2019","도봉구","2,110","1,497","1","1","5","5","90","83","790","394","1,224","1,014"
"2019","노원구","4,153","2,964","4","4","3","3","184","158","1,498","681","2,464","2,118"
"2019","은평구","3,880","3,000","3","3","1","1","194","162","1,565","977","2,117","1,857"
"2019","서대문구","2,943","2,020","2","1","5","5","175","154","1,226","600","1,535","1,260"
"2019","마포구","4,842","3,170","2","2","2","2","495","417","2,190","917","2,153","1,832"
"2019","양천구","3,214","2,124","6","6","2","2","127","112","1,477","634","1,602","1,370"
"2019","강서구","4,924","3,543","8","9","3","4","306","257","2,050","1,077","2,557","2,196"
"2019","구로구","4,707","3,291","10","9","3","4","226","165","1,916","965","2,552","2,148"
"2019","금천구","3,105","2,343","6","6","10","6","153","126","1,157","615","1,779","1,590"
"2019","영등포구","5,820","3,787","10","10","3","3","356","239","2,409","1,068","3,042","2,467"
"2019","동작구","3,400","2,195","4","2","1","1","251","110","1,328","579","1,816","1,503"
"2019","관악구","5,328","3,810","13","10","10","11","408","335","2,223","1,085","2,674","2,369"
"2019","서초구","5,542","3,750","5","5","7","5","616","412","2,270","1,118","2,644","2,210"
"2019","강남구","7,304","5,069","5","3","5","6","666","562","2,970","1,339","3,658","3,159"
"2019","송파구","5,698","3,799","7","8","10","10","273","230","2,416","1,016","2,992","2,535"
"2019","강동구","4,014","2,955","6","5","15","14","180","155","1,650","907","2,163","1,874"
"2020","합계","92,679","66,548","141","126","138","132","5,763","5,458","38,293","19,705","48,344","41,127"
"2020","종로구","3,102","3,343","9","7","7","9","192","855","1,183","944","1,711","1,528"
"2020","중구","3,411","2,323","2","2","5","6","186","128","1,642","863","1,576","1,324"
"2020","용산구","2,969","2,056","5","3","6","6","230","186","1,111","534","1,617","1,327"
"2020","성동구","2,362","1,774","5","5","3","3","115","98","1,016","565","1,223","1,103"
"2020","광진구","3,601","2,511","2","2","4","4","255","224","1,664","874","1,676","1,407"
"2020","동대문구","3,401","2,465","10","8","6","5","161","142","1,440","713","1,784","1,597"
"2020","중랑구","3,726","2,781","10","9","5","6","183","153","1,506","889","2,022","1,724"
"2020","성북구","2,567","1,947","4","4","3","2","142","121","988","580","1,430","1,240"
"2020","강북구","2,770","2,259","9","8","5","4","159","132","780","490","1,817","1,625"
"2020","도봉구","2,179","1,490","-","-","2","2","82","87","861","379","1,234","1,022"
"2020","노원구","3,743","2,581","4","3","3","3","169","148","1,404","646","2,163","1,781"
"2020","은평구","3,390","2,531","4","4","4","3","171","145","1,371","756","1,840","1,623"
"2020","서대문구","2,533","1,706","3","3","2","1","159","149","1,077","524","1,292","1,029"
"2020","마포구","3,688","2,534","9","8","4","3","348","287","1,483","679","1,844","1,557"
"2020","양천구","3,216","2,086","5","5","3","3","109","90","1,517","718","1,582","1,270"
"2020","강서구","4,415","3,393","10","9","6","5","265","222","1,689","1,070","2,445","2,087"
"2020","구로구","4,175","2,984","6","6","5","5","197","142","1,763","1,008","2,204","1,823"
"2020","금천구","2,598","1,966","4","4","7","6","117","93","999","553","1,471","1,310"
"2020","영등포구","5,217","3,371","7","4","6","5","315","252","2,188","953","2,701","2,157"
"2020","동작구","3,200","2,086","1","1","1","2","226","121","1,341","592","1,631","1,370"
"2020","관악구","5,261","3,858","12","12","3","3","403","351","2,229","1,137","2,614","2,355"
"2020","서초구","4,601","3,052","5","5","6","4","396","303","2,021","960","2,173","1,780"
"2020","강남구","7,356","5,245","6","5","14","11","708","627","2,951","1,491","3,677","3,111"
"2020","송파구","5,410","3,544","6","6","13","17","287","235","2,429","1,006","2,675","2,280"
"2020","강동구","3,788","2,662","3","3","15","14","188","167","1,640","781","1,942","1,697"
